X1,X2,X3,X4,X5, X_c4h10, ch4_uptake, c2h6_uptake, c3h8_uptake, c4h10_uptake,y
10,280,0.15,0.35,0.2,0.3,0.00026,0.08526,1.28468,0.66712,0.00019496
10,280,0.15,0.3,0.35,0.2,0.00018,0.06528,2.02806,0.41666,0.000148233
10,280,0.2,0.1,0.3,0.4,0.00042,0.02066,1.78298,0.79504,0.000258066
10,280,0.22,0.28,0.25,0.25,0.00048,0.0644,1.51976,0.53704,0.000257984
10,280,0.2,0.4,0.1,0.3,0.00054,0.10352,0.68748,0.73014,0.000282208
10,280,0.25,0.25,0.25,0.25,0.00052,0.0577,1.55466,0.52728,0.000243032
10,280,0.25,0.2,0.25,0.3,0.00038,0.0461,1.52342,0.634,0.000180148
10,280,0.28,0.22,0.3,0.2,0.00034,0.04986,1.7865,0.42528,0.000146158
10,280,0.3,0.2,0.1,0.4,0.00044,0.0494,0.66414,0.92314,0.000159485
10,280,0.3,0.3,0.2,0.2,0.00058,0.07256,1.33888,0.4684,0.000208372
10,280,0.33,0.33,0.2,0.14,0.00052,0.0817,1.32688,0.32826,0.000170783
10,280,0.33,0.17,0.3,0.2,0.0005,0.04006,1.84934,0.435,0.000176692
10,280,0.4,0.1,0.15,0.35,0.00076,0.02414,0.95676,0.78864,0.000214131
10,280,0.4,0.1,0.3,0.2,0.00106,0.02384,1.82058,0.433,0.000312795
10,300,0.1,0.2,0.3,0.4,0.00008,0.0182,0.51904,0.21512,0.000339136
10,300,0.1,0.1,0.2,0.6,0.00006,0.00952,0.36414,0.35094,0.000239923
10,300,0.15,0.35,0.2,0.3,0.00016,0.03338,0.37328,0.16994,0.000421901
10,300,0.15,0.3,0.35,0.2,0.00024,0.02814,0.63528,0.11168,0.000648486
10,300,0.2,0.1,0.3,0.4,0.00024,0.0093,0.51458,0.20422,0.000517505
10,300,0.22,0.28,0.25,0.25,0.00022,0.02728,0.45384,0.13768,0.000405925
10,300,0.2,0.4,0.1,0.3,0.00032,0.03984,0.18924,0.16854,0.000626517
10,300,0.25,0.25,0.25,0.25,0.0004,0.024,0.45344,0.14048,0.000647333
10,300,0.25,0.2,0.25,0.3,0.00046,0.02016,0.44266,0.16158,0.000763473
10,300,0.28,0.22,0.3,0.2,0.0004,0.02146,0.54324,0.1209,0.000568507
10,300,0.3,0.2,0.1,0.4,0.00046,0.02134,0.1879,0.23796,0.000594177
10,300,0.3,0.3,0.2,0.2,0.0003,0.0296,0.37218,0.11364,0.000395606
10,300,0.33,0.33,0.2,0.14,0.00036,0.03338,0.37032,0.07788,0.000434792
10,300,0.33,0.17,0.3,0.2,0.00028,0.01634,0.5468,0.1145,0.000340581
10,300,0.4,0.1,0.15,0.35,0.00046,0.01054,0.28048,0.20222,0.000450444
10,300,0.4,0.1,0.3,0.2,0.00048,0.00962,0.55092,0.1161,0.000477498
10,320,0.1,0.2,0.3,0.4,0.00002,0.00754,0.15658,0.05656,0.000285293
10,320,0.1,0.1,0.2,0.6,0.00008,0.00424,0.10446,0.09016,0.001118933
10,320,0.15,0.35,0.2,0.3,0.0001,0.01394,0.10608,0.04556,0.000923239
10,320,0.15,0.3,0.35,0.2,0.00016,0.01146,0.18574,0.02926,0.001491454
10,320,0.2,0.1,0.3,0.4,0.0001,0.00368,0.16092,0.05784,0.000696573
10,320,0.22,0.28,0.25,0.25,0.00024,0.01098,0.13744,0.03586,0.00148947
10,320,0.2,0.4,0.1,0.3,0.0001,0.0165,0.0519,0.04644,0.000699252
10,320,0.25,0.25,0.25,0.25,0.0002,0.00988,0.13232,0.03966,0.001099747
10,320,0.25,0.2,0.25,0.3,0.00014,0.00796,0.13018,0.04552,0.000786237
10,320,0.28,0.22,0.3,0.2,0.00032,0.00802,0.15962,0.02966,0.001594341
10,320,0.3,0.2,0.1,0.4,0.00024,0.00804,0.05278,0.05878,0.001118959
10,320,0.3,0.3,0.2,0.2,0.00024,0.012,0.11062,0.03182,0.001063547
10,320,0.33,0.33,0.2,0.14,0.00044,0.0135,0.10786,0.02214,0.001805824
10,320,0.33,0.17,0.3,0.2,0.00022,0.00678,0.16052,0.03234,0.000904999
10,320,0.4,0.1,0.15,0.35,0.00038,0.00406,0.07892,0.05156,0.001330443
10,320,0.4,0.1,0.3,0.2,0.00048,0.00436,0.16754,0.03088,0.001586322
10,340,0.1,0.2,0.3,0.4,0.00004,0.00346,0.05444,0.0183,0.00163588
10,340,0.1,0.1,0.2,0.6,0,0.00154,0.03534,0.02678,0
10,340,0.15,0.35,0.2,0.3,0.00008,0.0065,0.03488,0.01478,0.002201691
10,340,0.15,0.3,0.35,0.2,0.00014,0.00492,0.05992,0.00896,0.004016064
10,340,0.2,0.1,0.3,0.4,0.00008,0.00184,0.05458,0.0191,0.001612361
10,340,0.22,0.28,0.25,0.25,0.00008,0.0049,0.04584,0.01186,0.001464504
10,340,0.2,0.4,0.1,0.3,0.00006,0.0068,0.01796,0.01396,0.001233891
10,340,0.25,0.25,0.25,0.25,0.00022,0.00456,0.04308,0.01186,0.003697479
10,340,0.25,0.2,0.25,0.3,0.0001,0.00312,0.04426,0.01474,0.001654442
10,340,0.28,0.22,0.3,0.2,0.00016,0.00354,0.0508,0.00948,0.002454335
10,340,0.3,0.2,0.1,0.4,0.00016,0.0034,0.01718,0.0187,0.002264204
10,340,0.3,0.3,0.2,0.2,0.00014,0.00516,0.0385,0.0095,0.001814412
10,340,0.33,0.33,0.2,0.14,0.00016,0.00534,0.03368,0.00622,0.002117146
10,340,0.33,0.17,0.3,0.2,0.00026,0.0031,0.05406,0.01034,0.003149811
10,340,0.4,0.1,0.15,0.35,0.00018,0.00172,0.0273,0.0157,0.00184383
10,340,0.4,0.1,0.3,0.2,0.0003,0.00152,0.05322,0.00922,0.003142019
10,360,0.1,0.2,0.3,0.4,0.00002,0.00172,0.01968,0.00648,0.002212389
10,360,0.1,0.1,0.2,0.6,0.00002,0.00072,0.01392,0.00906,0.002176279
10,360,0.15,0.35,0.2,0.3,0.00006,0.00344,0.01348,0.0058,0.00414242
10,360,0.15,0.3,0.35,0.2,0.00014,0.00284,0.02396,0.00428,0.009396874
10,360,0.2,0.1,0.3,0.4,0.00006,0.0009,0.02024,0.00678,0.003211418
10,360,0.22,0.28,0.25,0.25,0.0001,0.00302,0.01676,0.00492,0.004661731
10,360,0.2,0.4,0.1,0.3,0.00008,0.00372,0.00662,0.00464,0.004397215
10,360,0.25,0.25,0.25,0.25,0.00012,0.00214,0.01692,0.00362,0.005291005
10,360,0.25,0.2,0.25,0.3,0.00008,0.00188,0.01578,0.0047,0.003628666
10,360,0.28,0.22,0.3,0.2,0.00012,0.00206,0.02052,0.00392,0.004401761
10,360,0.3,0.2,0.1,0.4,0.00008,0.00186,0.00678,0.00736,0.002792321
10,360,0.3,0.3,0.2,0.2,0.00016,0.00252,0.01292,0.00404,0.005722461
10,360,0.33,0.33,0.2,0.14,0.00008,0.00266,0.01288,0.002,0.002794634
10,360,0.33,0.17,0.3,0.2,0.00014,0.0014,0.01886,0.00356,0.004772026
10,360,0.4,0.1,0.15,0.35,0.00016,0.00074,0.01002,0.00632,0.004335708
10,360,0.4,0.1,0.3,0.2,0.00022,0.0008,0.01902,0.00378,0.006090808
10,380,0.1,0.2,0.3,0.4,0,0.00104,0.00936,0.00282,0
10,380,0.1,0.1,0.2,0.6,0.00004,0.00038,0.0061,0.00344,0.009991674
10,380,0.15,0.35,0.2,0.3,0.00006,0.00158,0.0059,0.00234,0.009566109
10,380,0.15,0.3,0.35,0.2,0.00004,0.00104,0.01102,0.0014,0.006356413
10,380,0.2,0.1,0.3,0.4,0.00004,0.00042,0.00866,0.00304,0.004918033
10,380,0.22,0.28,0.25,0.25,0.0001,0.00106,0.00708,0.00182,0.011540871
10,380,0.2,0.4,0.1,0.3,0.00002,0.00198,0.00332,0.00192,0.002244669
10,380,0.25,0.25,0.25,0.25,0.00006,0.00088,0.00724,0.0016,0.00617284
10,380,0.25,0.2,0.25,0.3,0.00004,0.00086,0.00726,0.0023,0.003901805
10,380,0.28,0.22,0.3,0.2,0.00014,0.00106,0.0089,0.00158,0.011796668
10,380,0.3,0.2,0.1,0.4,0.00016,0.00118,0.0035,0.00294,0.011053541
10,380,0.3,0.3,0.2,0.2,0.00008,0.00134,0.00596,0.0013,0.006541292
10,380,0.33,0.33,0.2,0.14,0.00018,0.00162,0.00554,0.00096,0.01382079
10,380,0.33,0.17,0.3,0.2,0.00006,0.00084,0.00882,0.00144,0.004376818
